business_name,business_id,creative_id,name,asOf,engine_v3_creative_name,engine_v3_label,engine_v3_confidence,engine_v3_truth_source,engine_v3_ratio,engine_v3_target_roas,engine_v3_badges,engine_v3_reason,spend,purchases,roas,recent7d_roas,fatigue_status,effective_status,warehouse_missing
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_bzfqye,WallArtCatalog,2026-05-01,WallArtCatalog,test_more,75,commercial_truth,0.6874371240905105,3.5,stale_calibration;stale_lifecycle,"ROAS 2.41 (28d) = 69% of target after $929 spend (28d) — underperforming but spend not yet mature for hard cut, observe or pause manually.",928.7,13,2.406029934316787,0.7801215360631224,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_gav4ek,WoodenWallArtCatalog,2026-05-01,WoodenWallArtCatalog,scale,75,commercial_truth,1.3742212674543501,3.5,stale_calibration;stale_lifecycle;lifecycle_unavailable,ROAS 4.81 (28d) = 137% of target 3.50 with 18 purchases (28d) and recent 7d holding at 5.00 — scale the ad set budget.,558.6,18,4.809774436090225,4.996941896024466,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_11qthjh,Catalog New Collection,2026-05-01,Catalog New Collection,keep,75,commercial_truth,0.8320089489087855,3.5,weak_performance;stale_calibration;stale_lifecycle,"[weak zone] ROAS 2.91 (28d) = 83% of target — below target but in working zone, no aggressive action; revisit if ROAS drifts further.",1514.6300000000003,35,2.9120313211807494,4.015899230597827,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_kgfoui,A misbaha,2026-05-01,A misbaha,keep,75,commercial_truth,1.0708679194166204,3.5,stale_calibration;stale_lifecycle,"[at target] ROAS 3.75 (28d) at/around target 3.50 (107%) — stable, let it run.",759.3200000000002,18,3.7480377179581716,1.300834373562841,none,,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_7o6ry1,Transforming a house,2026-05-01,Transforming a house,test_more,75,commercial_truth,1.7699498084084409,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $265, 9 purchases, age 0d) — let the creative accumulate signal.",264.7,9,6.194824329429543,8.856376929325751,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_zri7ic,Every beautiful,2026-05-01,Every beautiful,test_more,75,commercial_truth,0.5815006702655702,3.5,stale_calibration;stale_lifecycle,"ROAS 2.04 (28d) = 58% of target after $434 spend (28d) — underperforming but spend not yet mature for hard cut, observe or pause manually.",433.72999999999996,6,2.0352523459294956,2.58274120366407,none,,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_1qxpvdx,decorista_93,2026-05-01,decorista_93,test_more,75,commercial_truth,0,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $6, 0 purchases, age 0d) — let the creative accumulate signal.",6.18,0,0,0,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_tah2d0,New 2026 Collection,2026-05-01,New 2026 Collection,test_more,75,commercial_truth,0,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $2, 0 purchases, age 0d) — let the creative accumulate signal.",2.44,0,0,0,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_15m2a6d,Since I hung,2026-05-01,Since I hung,test_more,75,commercial_truth,0.5564030509835407,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $100, 2 purchases, age 0d) — let the creative accumulate signal.",99.64,2,1.9474106784423926,1.9474106784423926,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_1cm23eg,julia_julia386,2026-05-01,julia_julia386,out_of_scope,60,global_default,,2,stale_calibration;stale_lifecycle,Engine currently supports OUTCOME_SALES only; this creative is OUTCOME_ENGAGEMENT.,279.61999999999995,0,0,,none,PAUSED,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_1fn7p9h,A prayer niche,2026-05-01,A prayer niche,test_more,75,commercial_truth,0,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $2, 0 purchases, age 0d) — let the creative accumulate signal.",1.78,0,0,0,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_nizzxl,لا للمحراب في البيوت!!,2026-05-01,لا للمحراب في البيوت!!,out_of_scope,60,global_default,,2,stale_calibration;stale_lifecycle,Engine currently supports OUTCOME_SALES only; this creative is OUTCOME_ENGAGEMENT.,188.17999999999998,0,0,0,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_mvouqb,The heart finds,2026-05-01,The heart finds,test_more,75,commercial_truth,0,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $19, 0 purchases, age 0d) — let the creative accumulate signal.",18.98,0,0,0,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_1nu7pbr,Our hearts are,2026-05-01,Our hearts are,out_of_scope,60,global_default,,2,stale_calibration;stale_lifecycle,Engine currently supports OUTCOME_SALES only; this creative is OUTCOME_ENGAGEMENT.,83.98,0,0,,none,PAUSED,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_1jkih46,nina_deko_germany,2026-05-01,nina_deko_germany,test_more,75,commercial_truth,1.0839809896561365,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $102, 3 purchases) — let the creative accumulate signal.",102.19999999999999,3,3.793933463796478,0,none,PAUSED,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_lusk5,Cherish every,2026-05-01,Cherish every,test_more,75,commercial_truth,1.315713101160862,3.5,stale_calibration;stale_lifecycle;low_ctr,"Thin data (28d spend $96, 2 purchases, age 2d) — let the creative accumulate signal.",96.48,2,4.604995854063017,0,watch,,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_tzeupz,A stunning Islamic,2026-05-01,A stunning Islamic,test_more,75,commercial_truth,0,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $81, 0 purchases) — let the creative accumulate signal.",81.41999999999997,0,0,0,none,PAUSED,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_6yakbd,Set up my,2026-05-01,Set up my,test_more,75,commercial_truth,0,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $91, 0 purchases, age 2d) — let the creative accumulate signal.",91.19999999999999,0,0,0,none,PAUSED,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_oh3fxx,PrayerEssentialsCatalog,2026-05-01,PrayerEssentialsCatalog,test_more,75,commercial_truth,0,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $80, 0 purchases, age 0d) — let the creative accumulate signal.",80.18999999999998,0,0,0,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_mkkyju,Glowing lanterns,2026-05-01,Glowing lanterns,test_more,75,commercial_truth,3.3663881029150486,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $43, 1 purchases, age 0d) — let the creative accumulate signal.",43.42,1,11.78235836020267,92.17837837837837,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_164v2ds,More than,2026-05-01,More than,test_more,75,commercial_truth,0,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $45, 0 purchases, age 2d) — let the creative accumulate signal.",45.49,0,0,0,watch,PAUSED,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_1uqggii,It added meaning,2026-05-01,It added meaning,test_more,75,commercial_truth,0,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $35, 0 purchases, age 3d) — let the creative accumulate signal.",34.64,0,0,0,none,PAUSED,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_1gkgji3,Iconic beauty,2026-05-01,Iconic beauty,test_more,75,commercial_truth,0,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $0, 0 purchases, age 2d) — let the creative accumulate signal.",0.30000000000000004,0,0,0,none,PAUSED,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_1m3nv5p,A solid foundation,2026-05-01,A solid foundation,test_more,75,commercial_truth,0.9650897226753671,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $31, 1 purchases, age 2d) — let the creative accumulate signal.",30.650000000000002,1,3.3778140293637846,0,none,,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_ruy649,Decorating the,2026-05-01,Decorating the,test_more,75,commercial_truth,1.2383426901127452,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $31, 1 purchases, age 0d) — let the creative accumulate signal.",30.79,1,4.334199415394608,4.334199415394608,none,ACTIVE,false
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,creative_r14rly,modern.cave,2026-05-01,modern.cave,test_more,75,commercial_truth,0,3.5,stale_calibration;stale_lifecycle,"Thin data (28d spend $45, 0 purchases, age 0d) — let the creative accumulate signal.",44.760000000000005,0,0,0,none,ACTIVE,false
