business,creative_id,creative_name,v3_label,v3_reason,v3_confidence,v3_truth_source,v3_effective_target_roas,v3_ratio_to_target,v3_badges
TheSwaf,1347969233807910,EMB - CatalogAd,keep,"[demote candidate] ROAS 1.37 (28d) = 62% of target — above account bottom quartile (52%) but below breakeven (1.71 = 78% of target) at $9,963 mature spend — consider demote to test placement or refresh creative concept.",75,commercial_truth,2.2,0.6241849715412959,"[{""type"":""below_breakeven"",""label"":""Below breakeven"",""severity"":""warning""},{""type"":""weak_performance"",""label"":""Below target"",""severity"":""warning""},{""type"":""past_peak_unclear_signal"",""label"":""Past peak — operator review recommended (cannot distinguish missed opportunity vs natural saturation)"",""severity"":""warning""}]"
TheSwaf,1521071976374724,EmB - Catalog Ad,keep,"[demote candidate] ROAS 1.31 (28d) = 60% of target — above account bottom quartile (52%) but below breakeven (1.71 = 78% of target) at $8,824 mature spend — consider demote to test placement or refresh creative concept.",75,commercial_truth,2.2,0.5958174365544542,"[{""type"":""below_breakeven"",""label"":""Below breakeven"",""severity"":""warning""},{""type"":""weak_performance"",""label"":""Below target"",""severity"":""warning""},{""type"":""past_peak_unclear_signal"",""label"":""Past peak — operator review recommended (cannot distinguish missed opportunity vs natural saturation)"",""severity"":""warning""}]"
TheSwaf,2804457086560981,wearthefearrevise,cut,"ROAS 0.89 (28d) = 40% of target after $2,241 spend (28d) — clear loser at scale.",72,commercial_truth,2.2,0.40385198936151223,"[{""type"":""creative_quality_weak"",""label"":""Creative quality weak"",""severity"":""warning""},{""type"":""past_peak_unclear_signal"",""label"":""Past peak — operator review recommended (cannot distinguish missed opportunity vs natural saturation)"",""severity"":""warning""}]"
TheSwaf,1960236391551172,aura,keep,[weak target] ROAS 1.92 (28d) just above breakeven (87% of target) — keep observing; consider tightening if recent 7d weakens.,75,commercial_truth,2.2,0.8731253605447646,"[{""type"":""past_peak_unclear_signal"",""label"":""Past peak — operator review recommended (cannot distinguish missed opportunity vs natural saturation)"",""severity"":""warning""}]"
TheSwaf,967749279083373,protection,keep,[weak target] ROAS 2.02 (28d) just above breakeven (92% of target) — keep observing; consider tightening if recent 7d weakens.,75,commercial_truth,2.2,0.9186823501536682,"[{""type"":""past_peak_unclear_signal"",""label"":""Past peak — operator review recommended (cannot distinguish missed opportunity vs natural saturation)"",""severity"":""warning""}]"
TheSwaf,951995590658338,aphrodite,keep,"[weak zone] ROAS 1.79 (28d) = 81% of target — below target but in working zone, no aggressive action; revisit if ROAS drifts further.",75,commercial_truth,2.2,0.8124872465981978,"[{""type"":""weak_performance"",""label"":""Below target"",""severity"":""warning""}]"
TheSwaf,1561834608247242,fatal,keep,"[demote candidate] ROAS 1.34 (28d) = 61% of target — above account bottom quartile (52%) but below breakeven (1.71 = 78% of target) at $1,180 mature spend — consider demote to test placement or refresh creative concept.",75,commercial_truth,2.2,0.6076367212488074,"[{""type"":""below_breakeven"",""label"":""Below breakeven"",""severity"":""warning""},{""type"":""weak_performance"",""label"":""Below target"",""severity"":""warning""},{""type"":""past_peak_unclear_signal"",""label"":""Past peak — operator review recommended (cannot distinguish missed opportunity vs natural saturation)"",""severity"":""warning""}]"
TheSwaf,841424642307232,EMB - CatalogAd,cut,ROAS 0.58 (28d) = 26% of target after $620 spend (28d) — clear loser at scale.,75,commercial_truth,2.2,0.2645908636524869,"[{""type"":""lifecycle_unavailable"",""label"":""Funnel calibration unavailable"",""severity"":""info""}]"
TheSwaf,941030035300398,biterevise,keep,[near scale] ROAS 3.55 (28d) above target (162%) — recent 7d ROAS 0.00 below target 2.20; observe.,75,commercial_truth,2.2,1.6158380023146899,"[{""type"":""past_peak_unclear_signal"",""label"":""Past peak — operator review recommended (cannot distinguish missed opportunity vs natural saturation)"",""severity"":""warning""}]"
TheSwaf,2731945777166108,depth,cut,ROAS 0.63 (28d) = 29% of target after $587 spend (28d) — clear loser at scale.,62,commercial_truth,2.2,0.28564881761516525,"[{""type"":""creative_quality_weak"",""label"":""Creative quality weak"",""severity"":""warning""},{""type"":""missing_recent_data"",""label"":""Recent 7d data missing"",""severity"":""warning""},{""type"":""past_peak_unclear_signal"",""label"":""Past peak — operator review recommended (cannot distinguish missed opportunity vs natural saturation)"",""severity"":""warning""}]"
TheSwaf,1250889117025589,restraintrevise,scale,ROAS 4.18 (28d) = 190% of target 2.20 with 7 purchases (28d) and recent 7d holding at 3.90 — scale the ad set budget.,75,commercial_truth,2.2,1.8979922559990763,[]
TheSwaf,1344068397554957,EMB - AllRings,keep,[demote candidate] ROAS 1.45 (28d) = 66% of target — above account bottom quartile (52%) but below breakeven (1.71 = 78% of target) at $498 mature spend — consider demote to test placement or refresh creative concept.,75,commercial_truth,2.2,0.660767989838971,"[{""type"":""below_breakeven"",""label"":""Below breakeven"",""severity"":""warning""},{""type"":""weak_performance"",""label"":""Below target"",""severity"":""warning""},{""type"":""past_peak_unclear_signal"",""label"":""Past peak — operator review recommended (cannot distinguish missed opportunity vs natural saturation)"",""severity"":""warning""}]"
TheSwaf,930269923096296,begintodeath,test_more,"Thin data (28d spend $390, 2 purchases, age 26d) — let the creative accumulate signal.",75,commercial_truth,2.2,0.9158107433349977,[]
