creative_id,business,creative_name,bucket,my_label,my_reason
1370381998117941,TheSwaf,Advantage+ catalog ad,closed_30d,keep,"410 purchases on $31,943 lifetime spend is observable, but ROAS 1.92 is not 1.30x the 2.20 target and not dead enough; keep."
1347969233807910,TheSwaf,EMB - CatalogAd,active,cut,"ROAS 1.37 is 0.62x of the 2.20 target and below 1.71 break-even on $9,963 28d spend with 73 purchases; mature enough to cut."
1521071976374724,TheSwaf,EmB - Catalog Ad,active,cut,"ROAS 1.31 is 0.60x of the 2.20 target and below 1.71 break-even on $8,824 28d spend with 61 purchases; mature enough to cut."
736272486128828,TheSwaf,AllRings,closed_30d,keep,"28 purchases on $2,589 lifetime spend is observable, but ROAS 1.62 is not 1.30x the 2.20 target and not dead enough; keep."
1851364679152359,TheSwaf,AllRings,closed_30d,keep,"31 purchases on $2,319 lifetime spend is observable, but ROAS 2.10 is not 1.30x the 2.20 target and not dead enough; keep."
2804457086560981,TheSwaf,wearthefearrevise,active,test_more,"10 purchases on $2,241 28d spend does not clear my 20-purchase and $1,000 confidence bar; test more."
1960236391551172,TheSwaf,aura,active,keep,"17 purchases on $1,763 28d spend is observable, but ROAS 1.92 is not 1.30x the 2.20 target and not dead enough; keep."
967749279083373,TheSwaf,protection,active,keep,"14 purchases on $1,596 28d spend is observable, but ROAS 2.02 is not 1.30x the 2.20 target and not dead enough; keep."
951995590658338,TheSwaf,aphrodite,active,keep,"13 purchases on $1,439 28d spend is observable, but ROAS 1.79 is not 1.30x the 2.20 target and not dead enough; keep."
1561834608247242,TheSwaf,fatal,active,test_more,"7 purchases on $1,180 28d spend does not clear my 20-purchase and $1,000 confidence bar; test more."
3357963294352238,TheSwaf,ReligiousNecklaceFlex,closed_30d,test_more,"2 purchases on $767 lifetime spend does not clear my 20-purchase and $1,000 confidence bar; test more."
841424642307232,TheSwaf,EMB - CatalogAd,active,test_more,"2 purchases on $620 28d spend does not clear my 20-purchase and $1,000 confidence bar; test more."
941030035300398,TheSwaf,biterevise,active,keep,"8 purchases on $593 28d spend is observable, but ROAS 3.55 is not 1.30x the 2.20 target and not dead enough; keep."
2731945777166108,TheSwaf,depth,closed_30d,test_more,"2 purchases on $587 lifetime spend does not clear my 20-purchase and $1,000 confidence bar; test more."
1250889117025589,TheSwaf,restraintrevise,active,keep,"7 purchases on $504 28d spend is observable, but ROAS 4.18 is not 1.30x the 2.20 target and not dead enough; keep."
1344068397554957,TheSwaf,EMB - AllRings,active,test_more,"4 purchases on $498 28d spend does not clear my 20-purchase and $1,000 confidence bar; test more."
930269923096296,TheSwaf,begintodeath,active,test_more,"2 purchases on $390 28d spend does not clear my 20-purchase and $1,000 confidence bar; test more."
1383902269751310,TheSwaf,TargeryenFlex,closed_30d,test_more,"1 purchases on $397 lifetime spend does not clear my 20-purchase and $1,000 confidence bar; test more."
1425547512680542,TheSwaf,ancientegypt,closed_30d,test_more,"2 purchases on $378 lifetime spend does not clear my 20-purchase and $1,000 confidence bar; test more."
974060018521285,TheSwaf,death,active,test_more,"3 purchases on $371 28d spend does not clear my 20-purchase and $1,000 confidence bar; test more."
1142325247324026,TheSwaf,TargeryenFlex,closed_30d,keep,"4 purchases on $350 lifetime spend is observable, but ROAS 2.22 is not 1.30x the 2.20 target and not dead enough; keep."
2195229177681668,TheSwaf,angelNdevill,active,test_more,"2 purchases on $341 28d spend does not clear my 20-purchase and $1,000 confidence bar; test more."
935580372698767,TheSwaf,faith,closed_30d,test_more,"1 purchases on $325 lifetime spend does not clear my 20-purchase and $1,000 confidence bar; test more."
1133995451493304,TheSwaf,MedusaFlex,closed_30d,keep,"3 purchases on $305 lifetime spend is observable, but ROAS 1.69 is not 1.30x the 2.20 target and not dead enough; keep."
1474105167195606,TheSwaf,Mix,closed_30d,keep,"5 purchases on $237 lifetime spend is observable, but ROAS 2.49 is not 1.30x the 2.20 target and not dead enough; keep."
2413832812481192,TheSwaf,watchthat,closed_30d,test_more,"0 purchases on $226 lifetime spend does not clear my 20-purchase and $1,000 confidence bar; test more."
2908323869499405,TheSwaf,risklooksbetter,closed_30d,test_more,"0 purchases on $187 lifetime spend does not clear my 20-purchase and $1,000 confidence bar; test more."
1484306833294778,TheSwaf,EMB - TargeryenFlex,active,test_more,"1 purchases on $148 28d spend does not clear my 20-purchase and $1,000 confidence bar; test more."
